actor_name,actor_name,movies,revenues,costs,gross_profit,return,count
Jacki Weaver,Jacki Weaver,"[https://en.wikipedia.org/wiki/Magic_in_the_Moonlight, https://en.wikipedia.org/wiki/Parkland_(film), https://en.wikipedia.org/wiki/Silver_Linings_Playbook, https://en.wikipedia.org/wiki/Stoker_(film), https://en.wikipedia.org/wiki/The_Voices_(film)]",301356377.0,70800000.0,79878188.5,1.12822300141,5
Paul McGill,Paul McGill,[https://en.wikipedia.org/wiki/Fame_(2009_film)],77184633.0,18000000.0,20592316.5,1.14401758333,1
Patrick Elyas,Patrick Elyas,[https://en.wikipedia.org/wiki/The_Young_Black_Stallion],0.0,0.0,0.0,,1
David Foy,David Foy,[https://en.wikipedia.org/wiki/Hatchet_II],0.0,0.0,0.0,,1
Jemima West,Jemima West,[https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones],90600000.0,60000000.0,-14700000.0,-0.245,1
Tyra Banks,Tyra Banks,"[https://en.wikipedia.org/wiki/Coyote_Ugly_(film), https://en.wikipedia.org/wiki/Halloween:_Resurrection]",151500000.0,58000000.0,17750000.0,0.306034482759,2
Deke Garner,Deke Garner,[https://en.wikipedia.org/wiki/Hellion_(film)],0.0,0.0,0.0,,1
Sean Maher,Sean Maher,[https://en.wikipedia.org/wiki/Much_Ado_About_Nothing_(2012_film)],0.0,0.0,0.0,,1
Susan Barnes,Susan Barnes,[https://en.wikipedia.org/wiki/Where_the_Money_Is],7243669.0,28000000.0,-24378165.5,-0.870648767857,1
Denis Lavant,Denis Lavant,[https://en.wikipedia.org/wiki/Mister_Lonely],393813.0,8200000.0,-8003093.5,-0.975987012195,1
Julie Kavner,Julie Kavner,"[https://en.wikipedia.org/wiki/Click_(2006_film), https://en.wikipedia.org/wiki/The_Simpsons_Movie]",765600000.0,157500000.0,225300000.0,1.43047619048,2
Miguel A. Núñez Jr.,Miguel A. Núñez Jr.,[https://en.wikipedia.org/wiki/Kickin%27_It_Old_Skool],4700000.0,25700000.0,-23350000.0,-0.908560311284,1
Dave Holmes,Dave Holmes,[https://en.wikipedia.org/wiki/Hell_Baby],8785.0,2500000.0,-2495607.5,-0.998243,1
Werner Herzog,Werner Herzog,"[https://en.wikipedia.org/wiki/Grizzly_Man, https://en.wikipedia.org/wiki/Jack_Reacher_(film), https://en.wikipedia.org/wiki/Mister_Lonely]",218693813.0,68200000.0,41146906.5,0.60332707478,3
Omar Benson Miller,Omar Benson Miller,"[https://en.wikipedia.org/wiki/Get_Rich_or_Die_Tryin%27_(film), https://en.wikipedia.org/wiki/Miracle_at_St._Anna, https://en.wikipedia.org/wiki/Shall_We_Dance%3F_(2004_film), https://en.wikipedia.org/wiki/The_Sorcerer%27s_Apprentice_(2010_film)]",441100000.0,285000000.0,-64450000.0,-0.226140350877,4
Sergio Castellitto,Sergio Castellitto,"[https://en.wikipedia.org/wiki/Mostly_Martha_(film), https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian]",419700000.0,225000000.0,-15150000.0,-0.0673333333333,2
Sho Kosugi,Sho Kosugi,[https://en.wikipedia.org/wiki/Ninja_Assassin],61600000.0,40000000.0,-9200000.0,-0.23,1
Oona Chaplin,Oona Chaplin,[https://en.wikipedia.org/wiki/The_Longest_Ride_(film)],64944815.0,34000000.0,-1527592.5,-0.0449291911765,1
