actor_name,movies,revenues,costs,gross_profit,return,count
Jacki Weaver,"[https://en.wikipedia.org/wiki/Magic_in_the_Moonlight, https://en.wikipedia.org/wiki/Parkland_(film), https://en.wikipedia.org/wiki/Silver_Linings_Playbook, https://en.wikipedia.org/wiki/Stoker_(film), https://en.wikipedia.org/wiki/The_Voices_(film)]",301356377,70800000,79878188.5,1.128223001,5
Paul McGill,[https://en.wikipedia.org/wiki/Fame_(2009_film)],77184633,18000000,20592316.5,1.144017583,1
Patrick Elyas,[https://en.wikipedia.org/wiki/The_Young_Black_Stallion],0,0,0,,1
David Foy,[https://en.wikipedia.org/wiki/Hatchet_II],0,0,0,,1
Jemima West,[https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones],90600000,60000000,-14700000,-0.245,1
Tyra Banks,"[https://en.wikipedia.org/wiki/Coyote_Ugly_(film), https://en.wikipedia.org/wiki/Halloween:_Resurrection]",151500000,58000000,17750000,0.306034483,2
Deke Garner,[https://en.wikipedia.org/wiki/Hellion_(film)],0,0,0,,1
Sean Maher,[https://en.wikipedia.org/wiki/Much_Ado_About_Nothing_(2012_film)],0,0,0,,1
Susan Barnes,[https://en.wikipedia.org/wiki/Where_the_Money_Is],7243669,28000000,-24378165.5,-0.870648768,1
Denis Lavant,[https://en.wikipedia.org/wiki/Mister_Lonely],393813,8200000,-8003093.5,-0.975987012,1
Julie Kavner,"[https://en.wikipedia.org/wiki/Click_(2006_film), https://en.wikipedia.org/wiki/The_Simpsons_Movie]",765600000,157500000,225300000,1.43047619,2
Miguel A. N̼̱ez Jr.,[https://en.wikipedia.org/wiki/Kickin%27_It_Old_Skool],4700000,25700000,-23350000,-0.908560311,1
Dave Holmes,[https://en.wikipedia.org/wiki/Hell_Baby],8785,2500000,-2495607.5,-0.998243,1
Werner Herzog,"[https://en.wikipedia.org/wiki/Grizzly_Man, https://en.wikipedia.org/wiki/Jack_Reacher_(film), https://en.wikipedia.org/wiki/Mister_Lonely]",218693813,68200000,41146906.5,0.603327075,3
Omar Benson Miller,"[https://en.wikipedia.org/wiki/Get_Rich_or_Die_Tryin%27_(film), https://en.wikipedia.org/wiki/Miracle_at_St._Anna, https://en.wikipedia.org/wiki/Shall_We_Dance%3F_(2004_film), https://en.wikipedia.org/wiki/The_Sorcerer%27s_Apprentice_(2010_film)]",441100000,285000000,-64450000,-0.226140351,4
Sergio Castellitto,"[https://en.wikipedia.org/wiki/Mostly_Martha_(film), https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian]",419700000,225000000,-15150000,-0.067333333,2
Sho Kosugi,[https://en.wikipedia.org/wiki/Ninja_Assassin],61600000,40000000,-9200000,-0.23,1
Oona Chaplin,[https://en.wikipedia.org/wiki/The_Longest_Ride_(film)],64944815,34000000,-1527592.5,-0.044929191,1
Dr. Mary Gail Frawley-O'Dea,[https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2006_film)],0,0,0,,1
John Cho,"[https://en.wikipedia.org/wiki/A_Very_Harold_%26_Kumar_3D_Christmas, https://en.wikipedia.org/wiki/American_Reunion, https://en.wikipedia.org/wiki/Better_Luck_Tomorrow, https://en.wikipedia.org/wiki/Harold_%26_Kumar_Escape_from_Guantanamo_Bay, https://en.wikipedia.org/wiki/Harold_%26_Kumar_Go_to_White_Castle, https://en.wikipedia.org/wiki/Harold_and_Kumar_Escape_from_Guantanamo_Bay, https://en.wikipedia.org/wiki/Star_Trek_(film), https://en.wikipedia.org/wiki/Star_Trek_Beyond, https://en.wikipedia.org/wiki/Star_Trek_Into_Darkness, https://en.wikipedia.org/wiki/Total_Recall_(2012_film)]",1780200000,747250000,142850000,0.191167615,10
Bob Sapp,[https://en.wikipedia.org/wiki/Conan_the_Barbarian_(2011_film)],48800000,90000000,-65600000,-0.728888889,1
Brian Bosworth,[https://en.wikipedia.org/wiki/Do_You_Believe%3F_(film)],14400000,2300000,4900000,2.130434783,1
Jonah Hill,"[https://en.wikipedia.org/wiki/10_Items_or_Less_(film), https://en.wikipedia.org/wiki/21_Jump_Street_(film), https://en.wikipedia.org/wiki/22_Jump_Street, https://en.wikipedia.org/wiki/Accepted, https://en.wikipedia.org/wiki/Cyrus_(2010_comedy-drama_film), https://en.wikipedia.org/wiki/Evan_Almighty, https://en.wikipedia.org/wiki/Funny_People, https://en.wikipedia.org/wiki/Get_Him_to_the_Greek, https://en.wikipedia.org/wiki/Hail,_Caesar!, https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_(film), https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_2, https://en.wikipedia.org/wiki/Megamind, https://en.wikipedia.org/wiki/Moneyball_(film), https://en.wikipedia.org/wiki/Sausage_Party, https://en.wikipedia.org/wiki/Strange_Wilderness, https://en.wikipedia.org/wiki/Superbad_(film), https://en.wikipedia.org/wiki/The_Invention_of_Lying, https://en.wikipedia.org/wiki/The_Sitter_(2011_film), https://en.wikipedia.org/wiki/The_Watch_(2012_film), https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film), https://en.wikipedia.org/wiki/This_Is_the_End, https://en.wikipedia.org/wiki/True_Story_(film), https://en.wikipedia.org/wiki/War_Dogs_(2016_film)]",3587131520,1314000000,479565760,0.364966332,23
Shigeru Izumiya,[https://en.wikipedia.org/wiki/Godzilla:_Final_Wars],12000000,19500000,-13500000,-0.692307692,1
Peter Bartlett,[https://en.wikipedia.org/wiki/The_Princess_and_the_Frog],267000000,105000000,28500000,0.271428571,1
Busta Rhymes,"[https://en.wikipedia.org/wiki/Finding_Forrester, https://en.wikipedia.org/wiki/Halloween:_Resurrection, https://en.wikipedia.org/wiki/Narc_(film)]",130249764,62500000,2624882,0.041998112,3
Neil Flynn,[https://en.wikipedia.org/wiki/Hoot_(film)],8224998,15000000,-10887501,-0.7258334,1
Yvan Attal,[https://en.wikipedia.org/wiki/Anthony_Zimmer],0,0,0,,1
Riley Griffiths,[https://en.wikipedia.org/wiki/Super_8_(film)],260100000,50000000,80050000,1.601,1
Jesse L. Martin,[https://en.wikipedia.org/wiki/Rent_(film)],31600000,40000000,-24200000,-0.605,1
Pauly Shore,[https://en.wikipedia.org/wiki/Pauly_Shore_Is_Dead],0,0,0,,1
Rafi Gavron,[https://en.wikipedia.org/wiki/Inkheart_(film)],62450361,60000000,-28774819.5,-0.479580325,1
Bobby Campo,[https://en.wikipedia.org/wiki/The_Final_Destination],186200000,40000000,53100000,1.3275,1
Victor Webster,[https://en.wikipedia.org/wiki/Dirty_Love_(film)],0,0,0,,1
Michael Constantine,"[https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding, https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",457600000,23000000,205800000,8.947826087,2
"Shad ""Bow Wow"" Moss",[https://en.wikipedia.org/wiki/Madea%27s_Big_Happy_Family_(film)],54161287,25000000,2080643.5,0.08322574,1
Anne Bancroft,"[https://en.wikipedia.org/wiki/Delgo_(film), https://en.wikipedia.org/wiki/Fathom_Studios, https://en.wikipedia.org/wiki/Heartbreakers_(2001_film), https://en.wikipedia.org/wiki/Keeping_the_Faith]",119488088,144000000,-84255956,-0.585110806,4
Alex Garfin,[https://en.wikipedia.org/wiki/The_Peanuts_Movie],246200000,99000000,24100000,0.243434343,1
Scott Patrick Green,"[https://en.wikipedia.org/wiki/Last_Days_(film), https://en.wikipedia.org/wiki/Paranoid_Park_(film)]",4500000,3000000,-750000,-0.25,2
Jason O'Mara,"[https://en.wikipedia.org/wiki/One_for_the_Money_(film), https://en.wikipedia.org/wiki/Resident_Evil:_Extinction]",184600000,85000000,7300000,0.085882353,2
Breckin Meyer,"[https://en.wikipedia.org/wiki/3_Geezers!, https://en.wikipedia.org/wiki/Garfield:_A_Tail_of_Two_Kitties, https://en.wikipedia.org/wiki/Garfield:_The_Movie, https://en.wikipedia.org/wiki/Ghosts_of_Girlfriends_Past, https://en.wikipedia.org/wiki/Herbie:_Fully_Loaded, https://en.wikipedia.org/wiki/Kate_%26_Leopold, https://en.wikipedia.org/wiki/Rat_Race_(film), https://en.wikipedia.org/wiki/Rebound_(2005_film), https://en.wikipedia.org/wiki/Road_Trip_(film)]",785419048,305100000,87609524,0.287150193,9
Anna Paquin,"[https://en.wikipedia.org/wiki/25th_Hour, https://en.wikipedia.org/wiki/Almost_Famous, https://en.wikipedia.org/wiki/Buffalo_Soldiers_(2001_film), https://en.wikipedia.org/wiki/Darkness_(2002_film), https://en.wikipedia.org/wiki/Finding_Forrester, https://en.wikipedia.org/wiki/Margaret_(2011_film), https://en.wikipedia.org/wiki/Straight_A%27s, https://en.wikipedia.org/wiki/The_Good_Dinosaur, https://en.wikipedia.org/wiki/The_Romantics_(film), https://en.wikipedia.org/wiki/The_Squid_and_the_Whale, https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past, https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand, https://en.wikipedia.org/wiki/X-Men_(film), https://en.wikipedia.org/wiki/X2_(film)]",2448541222,925600000,298670611,0.322677842,14
Samantha Morton,"[https://en.wikipedia.org/wiki/Control_(2007_film), https://en.wikipedia.org/wiki/John_Carter_(film), https://en.wikipedia.org/wiki/Lassie_(2005_film), https://en.wikipedia.org/wiki/Minority_Report_(film), https://en.wikipedia.org/wiki/Mister_Lonely, https://en.wikipedia.org/wiki/The_Messenger_(2009_film)]",653315074,373100000,-46442463,-0.124477253,6
M.C. Gainey,[https://en.wikipedia.org/wiki/Stolen_(2012_film)],17967746,35000000,-26016127,-0.743317914,1
Katee Sackhoff,"[https://en.wikipedia.org/wiki/Oculus_(film), https://en.wikipedia.org/wiki/Riddick_(film), https://en.wikipedia.org/wiki/The_Haunting_in_Connecticut_2:_Ghosts_of_Georgia, https://en.wikipedia.org/wiki/White_Noise:_The_Light]",153202965,54500000,22101482.5,0.405531789,4
James Caan,"[https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_(film), https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2, https://en.wikipedia.org/wiki/Detachment_(film), https://en.wikipedia.org/wiki/Elf_(film), https://en.wikipedia.org/wiki/Get_Smart_(film), https://en.wikipedia.org/wiki/Middle_Men_(film), https://en.wikipedia.org/wiki/The_Way_of_the_Gun, https://en.wikipedia.org/wiki/The_Yards]",983113393,343500000,148056696.5,0.431023862,8
