actor_name,actor_name,movies,revenues,costs,gross_profit,return,count
Lamman Rucker,Lamman Rucker,[https://en.wikipedia.org/wiki/Why_Did_I_Get_Married_Too%3F],60095852.0,20000000.0,10047926.0,0.5023963,1
Finley Jacobsen,Finley Jacobsen,[https://en.wikipedia.org/wiki/Olympus_Has_Fallen],161000000.0,70000000.0,10500000.0,0.15,1
Lauren Hutton,Lauren Hutton,[https://en.wikipedia.org/wiki/The_Joneses],7022728.0,10000000.0,-6488636.0,-0.6488636,1
Natalie Racoosin,Natalie Racoosin,[https://en.wikipedia.org/wiki/Alone_yet_Not_Alone],887851.0,7000000.0,-6556074.5,-0.936582071429,1
Colin Quinn,Colin Quinn,[https://en.wikipedia.org/wiki/Trainwreck_(film)],140800000.0,35000000.0,35400000.0,1.01142857143,1
Yin Chang,Yin Chang,[https://en.wikipedia.org/wiki/Prom_(film)],10100000.0,8000000.0,-2950000.0,-0.36875,1
John Krasinski,John Krasinski,"[https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi, https://en.wikipedia.org/wiki/Aloha_(film), https://en.wikipedia.org/wiki/Big_Miracle, https://en.wikipedia.org/wiki/Nobody_Walks, https://en.wikipedia.org/wiki/Something_Borrowed_(film)]",181100000.0,177000000.0,-86450000.0,-0.488418079096,5
Mindy Kaling,Mindy Kaling,[https://en.wikipedia.org/wiki/Inside_Out_(2015_film)],857600000.0,175000000.0,253800000.0,1.45028571429,1
Abbie Cobb,Abbie Cobb,[https://en.wikipedia.org/wiki/Moms%27_Night_Out],10500000.0,5000000.0,250000.0,0.05,1
Frances Fisher,Frances Fisher,"[https://en.wikipedia.org/wiki/Any_Day_Now_(2012_film), https://en.wikipedia.org/wiki/Plush_(film), https://en.wikipedia.org/wiki/The_Lincoln_Lawyer_(film), https://en.wikipedia.org/wiki/The_Roommate, https://en.wikipedia.org/wiki/Titanic_(1997_film)]",2314595839.0,258000000.0,899297919.5,3.48565085078,5
Erick Avari,Erick Avari,[https://en.wikipedia.org/wiki/Hachiko:_A_Dog%27s_Story],46700000.0,16000000.0,7350000.0,0.459375,1
Ryan Hansen,Ryan Hansen,[https://en.wikipedia.org/wiki/Veronica_Mars_(film)],3500000.0,6000000.0,-4250000.0,-0.708333333333,1
Ayelet Zurer,Ayelet Zurer,"[https://en.wikipedia.org/wiki/Ben-Hur_(2016_film), https://en.wikipedia.org/wiki/Darling_Companion, https://en.wikipedia.org/wiki/Man_of_Steel_(film)]",762893815.0,337000000.0,44446907.5,0.131889933234,3
David Foy,David Foy,[https://en.wikipedia.org/wiki/Hatchet_II],0.0,0.0,0.0,,1
