director_name,movies,revenues,costs,gross_profit,return,count
,"[https://en.wikipedia.org/wiki/The_Perfect_Game, https://en.wikipedia.org/wiki/List_of_Marvel_Cinematic_Universe_films, https://en.wikipedia.org/wiki/X-Men_(film_series)]",0,0,0,,3
"Pierre CoffinChris Renaud","[https://en.wikipedia.org/wiki/Despicable_Me, https://en.wikipedia.org/wiki/Despicable_Me, https://en.wikipedia.org/wiki/Despicable_Me]",1629300000,207000000,607650000,2.935507246,3
Phillip Noyce,"[https://en.wikipedia.org/wiki/Salt_(2010_film), https://en.wikipedia.org/wiki/The_Giver_(film)]",360500000,135000000,45250000,0.335185185,2
Henry Alex Rubin,[https://en.wikipedia.org/wiki/Disconnect_(film)],0,0,0,,1
Jorma Taccone,[https://en.wikipedia.org/wiki/MacGruber_(film)],9300000,10000000,-5350000,-0.535,1
Stephen Elliott,[https://en.wikipedia.org/wiki/About_Cherry],0,0,0,,1
John Luessenhop,"[https://en.wikipedia.org/wiki/Takers, https://en.wikipedia.org/wiki/Texas_Chainsaw_3D]",116300000,47100000,11050000,0.234607219,2
Mike Flanagan,"[https://en.wikipedia.org/wiki/Oculus_(film), https://en.wikipedia.org/wiki/Ouija:_Origin_of_Evil]",125700000,14000000,48850000,3.489285714,2
John Gulager,[https://en.wikipedia.org/wiki/Piranha_3DD],8500000,5000000,-750000,-0.15,1
David Lickley,[https://en.wikipedia.org/wiki/Born_to_Be_Wild_3D],0,0,0,,1
Jamal Hill[1],[https://en.wikipedia.org/wiki/Brotherly_Love_(2015_film)],478595,1900000,-1660702.5,-0.874053947,1
Richard Rowley,[https://en.wikipedia.org/wiki/Dirty_Wars],0,0,0,,1
Tim Johnson,[https://en.wikipedia.org/wiki/Home_(2015_animated_film)],386000000,135000000,58000000,0.42962963,1
David F. Sandberg,[https://en.wikipedia.org/wiki/Lights_Out_(2016_film)],148900000,4900000,69550000,14.19387755,1
Thomas Bezucha,[https://en.wikipedia.org/wiki/Monte_Carlo_(2011_film)],39700000,20000000,-150000,-0.0075,1
Courtney Solomon,[https://en.wikipedia.org/wiki/Getaway_(film)],11800000,18000000,-12100000,-0.672222222,1
Jay Chandrasekhar,[https://en.wikipedia.org/wiki/The_Babymakers],0,0,0,,1
"Doug Liman (1)Paul Greengrass (2â€“3, 5)Tony Gilroy (4)",[https://en.wikipedia.org/wiki/Bourne_(film_series)],1636988243,490000000,328494121.5,0.670396166,1
Kat Candler,[https://en.wikipedia.org/wiki/Hellion_(film)],0,0,0,,1
David Lowery,"[https://en.wikipedia.org/wiki/Ain%27t_Them_Bodies_Saints, https://en.wikipedia.org/wiki/Pete%27s_Dragon_(2016_film)]",144700000,69000000,3350000,0.048550725,2
"Alastair FothergillKeith Scholey",[https://en.wikipedia.org/wiki/African_Cats],30900000,5000000,10450000,2.09,1
Ilya Naishuller,[https://en.wikipedia.org/wiki/Hardcore_Henry],14300000,2000000,5150000,2.575,1
"Nathan GrenoByron Howard",[https://en.wikipedia.org/wiki/Tangled_(2010_film)],591800000,260000000,35900000,0.138076923,1
Tobe Hooper,[https://en.wikipedia.org/wiki/Poltergeist_(1982_film)],121700000,10700000,50150000,4.686915888,1
Matt Piedmont,[https://en.wikipedia.org/wiki/Casa_de_Mi_Padre],8041667,6000000,-1979166.5,-0.329861083,1
David Zucker,[https://en.wikipedia.org/wiki/Scary_Movie_4],178300000,40000000,49150000,1.22875,1
Adam Sherman,[https://en.wikipedia.org/wiki/Crazy_Eyes_(film)],6106,10000000,-9996947,-0.9996947,1
Tommy Lee Jones,[https://en.wikipedia.org/wiki/The_Homesman],3440000,16000000,-14280000,-0.8925,1
Francis Lawrence,"[https://en.wikipedia.org/wiki/Water_for_Elephants_(film), https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire, https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1, https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire]",2602500000,423000000,878250000,2.076241135,4
JenÃ©e LaMarque,"[https://en.wikipedia.org/wiki/The_Pretty_One, https://en.wikipedia.org/wiki/The_Pretty_One]",0,0,0,,2
Peter Berg,"[https://en.wikipedia.org/wiki/Battleship_(film), https://en.wikipedia.org/wiki/Lone_Survivor_(film), https://en.wikipedia.org/wiki/Deepwater_Horizon_(film)]",577300000,405000000,-116350000,-0.287283951,3
Paul Haggis,[https://en.wikipedia.org/wiki/The_Next_Three_Days],67400000,30000000,3700000,0.123333333,1
"George Tillman, Jr.","[https://en.wikipedia.org/wiki/The_Inevitable_Defeat_of_Mister_%26_Pete, https://en.wikipedia.org/wiki/The_Longest_Ride_(film)]",65439423,37000000,-4280288.5,-0.115683473,2
Kevin Asch,[https://en.wikipedia.org/wiki/Holy_Rollers_(film)],0,0,0,,1
Philip Seymour Hoffman,[https://en.wikipedia.org/wiki/Jack_Goes_Boating_(film)],0,0,0,,1
David Soren,[https://en.wikipedia.org/wiki/Turbo_(film)],282600000,127000000,14300000,0.112598425,1
Mitch Glazer,[https://en.wikipedia.org/wiki/Passion_Play_(film)],3669,15000000,-14998165.5,-0.9998777,1
Paul Johansson,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I]",9254750,40000000,-35372625,-0.884315625,2
John Lee Hancock,"[https://en.wikipedia.org/wiki/Saving_Mr._Banks, https://en.wikipedia.org/wiki/The_Founder_(film)]",134000000,42000000,25000000,0.595238095,2
David E. Talbert,[https://en.wikipedia.org/wiki/Baggage_Claim_(film)],22456509,8500000,2728254.5,0.320971118,1
Michael Mann,[https://en.wikipedia.org/wiki/Blackhat_(film)],19700000,70000000,-60150000,-0.859285714,1
Jake Scott,[https://en.wikipedia.org/wiki/Welcome_to_the_Rileys],317382,10000000,-9841309,-0.9841309,1
Lee Tamahori,[https://en.wikipedia.org/wiki/The_Devil%27s_Double],4800000,19100000,-16700000,-0.87434555,1
Joe Swanberg,"[https://en.wikipedia.org/wiki/Drinking_Buddies, https://en.wikipedia.org/wiki/Happy_Christmas_(film)]",373653,1070000,-883173.5,-0.825395794,2
Gary McKendry,[https://en.wikipedia.org/wiki/Killer_Elite_(film)],56300000,70000000,-41850000,-0.597857143,1
Dito Montiel,"[https://en.wikipedia.org/wiki/The_Son_of_No_One, https://en.wikipedia.org/wiki/Empire_State_(2013_film)]",4800000,26000000,-23600000,-0.907692308,2
"Dan CutforthJane Lipsitz",[https://en.wikipedia.org/wiki/Katy_Perry:_Part_of_Me_3D],32726956,13000000,3363478,0.258729077,1
Trish Sie,[https://en.wikipedia.org/wiki/Step_Up:_All_In],86200000,45000000,-1900000,-0.042222222,1
John Putch,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II]",6672106,20000000,-16663947,-0.83319735,2
Nate Parker,[https://en.wikipedia.org/wiki/The_Birth_of_a_Nation_(2016_film)],16500000,8500000,-250000,-0.029411765,1
Paul Schrader,[https://en.wikipedia.org/wiki/The_Canyons_(film)],265670,250000,-117165,-0.46866,1
"Chris KentisLaura Lau",[https://en.wikipedia.org/wiki/Silent_House_(film)],13100000,2000000,4550000,2.275,1
Ridley Scott,"[https://en.wikipedia.org/wiki/Robin_Hood_(2010_film), https://en.wikipedia.org/wiki/Prometheus_(2012_film), https://en.wikipedia.org/wiki/The_Counselor_(film), https://en.wikipedia.org/wiki/Exodus:_Gods_and_Kings, https://en.wikipedia.org/wiki/The_Martian_(film)]",1694500000,593000000,254250000,0.428752108,5
John Sturges,[https://en.wikipedia.org/wiki/The_Magnificent_Seven],2250000,2000000,-875000,-0.4375,1
Miguel Sapochnik,[https://en.wikipedia.org/wiki/Repo_Men],18409891,32000000,-22795054.5,-0.712345453,1
"John StevensonMark Osborne",[https://en.wikipedia.org/wiki/Kung_Fu_Panda],631700000,130000000,185850000,1.429615385,1
John Erick Dowdle,"[https://en.wikipedia.org/wiki/Devil_(2010_film), https://en.wikipedia.org/wiki/As_Above,_So_Below_(film), https://en.wikipedia.org/wiki/No_Escape_(2015_film)]",159600000,20000000,59800000,2.99,3
Guillermo del Toro,"[https://en.wikipedia.org/wiki/Pacific_Rim_(film), https://en.wikipedia.org/wiki/Crimson_Peak]",486000000,245000000,-2000000,-0.008163265,2
John Wells,"[https://en.wikipedia.org/wiki/The_Company_Men, https://en.wikipedia.org/wiki/August:_Osage_County_(film)]",79100000,52000000,-12450000,-0.239423077,2
