0,director_name,movies,revenues,costs,gross_profit,return,count
,,"[https://en.wikipedia.org/wiki/The_Perfect_Game, https://en.wikipedia.org/wiki/List_of_Marvel_Cinematic_Universe_films, https://en.wikipedia.org/wiki/X-Men_(film_series)]",0.0,0.0,0.0,,3
"


Pierre Coffin
Chris Renaud


","


Pierre Coffin
Chris Renaud


","[https://en.wikipedia.org/wiki/Despicable_Me, https://en.wikipedia.org/wiki/Despicable_Me, https://en.wikipedia.org/wiki/Despicable_Me]",1629300000.0,207000000.0,607650000.0,2.93550724638,3
Phillip Noyce,Phillip Noyce,"[https://en.wikipedia.org/wiki/Salt_(2010_film), https://en.wikipedia.org/wiki/The_Giver_(film)]",360500000.0,135000000.0,45250000.0,0.335185185185,2
Henry Alex Rubin,Henry Alex Rubin,[https://en.wikipedia.org/wiki/Disconnect_(film)],0.0,0.0,0.0,,1
Jorma Taccone,Jorma Taccone,[https://en.wikipedia.org/wiki/MacGruber_(film)],9300000.0,10000000.0,-5350000.0,-0.535,1
Stephen Elliott,Stephen Elliott,[https://en.wikipedia.org/wiki/About_Cherry],0.0,0.0,0.0,,1
John Luessenhop,John Luessenhop,"[https://en.wikipedia.org/wiki/Takers, https://en.wikipedia.org/wiki/Texas_Chainsaw_3D]",116300000.0,47100000.0,11050000.0,0.234607218684,2
Mike Flanagan,Mike Flanagan,"[https://en.wikipedia.org/wiki/Oculus_(film), https://en.wikipedia.org/wiki/Ouija:_Origin_of_Evil]",125700000.0,14000000.0,48850000.0,3.48928571429,2
John Gulager,John Gulager,[https://en.wikipedia.org/wiki/Piranha_3DD],8500000.0,5000000.0,-750000.0,-0.15,1
David Lickley,David Lickley,[https://en.wikipedia.org/wiki/Born_to_Be_Wild_3D],0.0,0.0,0.0,,1
Jamal Hill[1],Jamal Hill[1],[https://en.wikipedia.org/wiki/Brotherly_Love_(2015_film)],478595.0,1900000.0,-1660702.5,-0.874053947368,1
Richard Rowley,Richard Rowley,[https://en.wikipedia.org/wiki/Dirty_Wars],0.0,0.0,0.0,,1
Tim Johnson,Tim Johnson,[https://en.wikipedia.org/wiki/Home_(2015_animated_film)],386000000.0,135000000.0,58000000.0,0.42962962963,1
David F. Sandberg,David F. Sandberg,[https://en.wikipedia.org/wiki/Lights_Out_(2016_film)],148900000.0,4900000.0,69550000.0,14.193877551,1
Thomas Bezucha,Thomas Bezucha,[https://en.wikipedia.org/wiki/Monte_Carlo_(2011_film)],39700000.0,20000000.0,-150000.0,-0.0075,1
Courtney Solomon,Courtney Solomon,[https://en.wikipedia.org/wiki/Getaway_(film)],11800000.0,18000000.0,-12100000.0,-0.672222222222,1
Jay Chandrasekhar,Jay Chandrasekhar,[https://en.wikipedia.org/wiki/The_Babymakers],0.0,0.0,0.0,,1
"Doug Liman (1)
Paul Greengrass (2–3, 5)
Tony Gilroy (4)","Doug Liman (1)
Paul Greengrass (2–3, 5)
Tony Gilroy (4)",[https://en.wikipedia.org/wiki/Bourne_(film_series)],1636988243.0,490000000.0,328494121.5,0.670396166327,1
Kat Candler,Kat Candler,[https://en.wikipedia.org/wiki/Hellion_(film)],0.0,0.0,0.0,,1
