,"
Production
companies
","
Production
company
","
Release date
","
Running time
",Based on,Box office,Budget,Cantonese,Cinematography,Country,Directed by,Distributed by,Edited by,Hepburn,Japanese,Language,Literally,Mandarin,Music by,Narrated by,Produced by,Screenplay by,Simplified,Starring,Story by,Traditional,Written by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day
0,,"



Pathé
Everest Entertainment
Film4 Productions
HandMade Films
Cloud Eight Films[1]



","


4 September 2010 (2010-09-04) (Telluride Film Festival)
5 November 2010 (2010-11-05) (United States)
7 January 2011 (2011-01-07) (United Kingdom)




",93 minutes,"Between a Rock and a Hard Place
by Aron Ralston",$60.7 million[2],$18 million[2],,"


Anthony Dod Mantle
Enrique Chediak


","


United Kingdom
United States


",Danny Boyle,"


Fox Searchlight Pictures (United States)
Warner Bros. Pictures (United Kingdom)


",Jon Harris,,,English,,,A. R. Rahman,,"


Danny Boyle
Christian Colson
John Smithson


","


Danny Boyle
Simon Beaufoy


",,James Franco,,,,https://en.wikipedia.org/wiki/127_Hours,127 Hours,"



Pathé
Everest Entertainment
Film4 Productions
HandMade Films
Cloud Eight Films[1]



",60700000.0,<type 'float'>,18000000.0,<type 'float'>,"[2010-09-04 00:00:00, 2010-11-05 00:00:00, 2011-01-07 00:00:00]",2011,1,1/7
1,,"
David v. Goliath Films
","


January 18, 2010 (2010-01-18) (Sundance)
June 18, 2010 (2010-06-18) (US)





",80 minutes,,"$100,280",$2.5 million,,"Reed Cowan
Steven Greenstreet
Mark Barr
Marian Eckley
Todd Petersen
Toby Quaranta
Christopher Reece-Volz
Richard Samuels
Derrick Shore",United States,"Reed Cowan
Steven Greenstreet","Red Flag Releasing
Wolfe Video (DVD)","Steven Greenstreet
Brian Bayerl
John Paul Kinhart",,,English,,,"Thomas Chase
Nicholas Greer",Dustin Lance Black,"Reed Cowan
Steven Greenstreet
Bruce Bastian
Christopher Reece-Volz
Emily Pearson",,,,,,Reed Cowan,https://en.wikipedia.org/wiki/8:_The_Mormon_Proposition,8: The Mormon Proposition,"
David v. Goliath Films
",100280.0,<type 'float'>,2500000.0,<type 'float'>,"[2010-01-18 00:00:00, 2010-06-18 00:00:00]",2010,6,6/18
2,,"



Dune Entertainment
Top Cow Productions
Scott Free Productions



","


June 11, 2010 (2010-06-11)






",119 minutes[1],"The A-Team
by Stephen J. Cannell and Frank Lupo",$177.2 million[3],$110 million[2][3],,Mauro Fiore,United States,Joe Carnahan,20th Century Fox,"


Roger Barton
Jim May


",,,English,,,Alan Silvestri,Corey Burton,"


Stephen J. Cannell
Tony Scott
Spike Seldin
Jules Daly
Alex Young
Iain Smith


","


Joe Carnahan
Brian Bloom
Skip Woods


",,"


Liam Neeson
Bradley Cooper
Jessica Biel
Quinton Jackson
Sharlto Copley
Brian Bloom
Patrick Wilson


",,,,https://en.wikipedia.org/wiki/The_A-Team_(film),The A-Team,"



Dune Entertainment
Top Cow Productions
Scott Free Productions



",177200000.0,<type 'float'>,110000000.0,<type 'float'>,[2010-06-11 00:00:00],2010,6,6/11
3,,"
Secret Handshake Entertainment
","


May 21, 2010 (2010-05-21) (Seattle)
July 22, 2011 (2011-07-22) (United States)





",109 minutes,,"$96,868[2]",,,,United States,Michael J. Weithorn,Freestyle Releasing[1],,,,English,,,,,"


Dena Hysell
Joe Gressis
Michael J. Weithorn


",,,"


Jenna Fischer
Chris O'Donnell
Rob Benedict
Arden Myrin
Daniel Yelsky


",,,Michael J. Weithorn,https://en.wikipedia.org/wiki/A_Little_Help,A Little Help,"
Secret Handshake Entertainment
",96868.0,<type 'float'>,,,"[2010-05-21 00:00:00, 2011-07-22 00:00:00]",2011,7,7/22
4,,"



Walt Disney Pictures
Roth Films
The Zanuck Company
Team Todd



","


February 25, 2010 (2010-02-25) (London)
March 5, 2010 (2010-03-05) (United States)





",108 minutes,"Alice's Adventures in Wonderland and Through the Looking-Glass
by Lewis Carroll",$1.025 billion[5],$150[2][3]–$200[4] million,,Dariusz Wolski,United States[1],Tim Burton,"Walt Disney Studios
Motion Pictures",Chris Lebenzon,,,English,,,Danny Elfman,,"


Richard D. Zanuck
Joe Roth
Suzanne Todd
Jennifer Todd


",Linda Woolverton,,"


Johnny Depp
Anne Hathaway
Helena Bonham Carter
Crispin Glover
Matt Lucas
Mia Wasikowska


",,,,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(2010_film),Alice in Wonderland,"



Walt Disney Pictures
Roth Films
The Zanuck Company
Team Todd



",1025000000.0,<type 'float'>,150000000.0,<type 'float'>,"[2010-02-25 00:00:00, 2010-03-05 00:00:00]",2010,3,3/5
5,,,"


December 3, 2010 (2010-12-03)






",101 minutes,,"$644,535[1]",$20 million,,Michael Seresin,United States,Andrew Jarecki,Magnolia Pictures,"David Rosenbloom
Shelby Siegel",,,English,,,Rob Simonsen,,"Andrew Jarecki
Michael London
Bruna Papandrea
Marc Smerling",,,"Ryan Gosling
Kirsten Dunst
Frank Langella
Philip Baker Hall",,,"Marcus Hinchey
Marc Smerling",https://en.wikipedia.org/wiki/All_Good_Things_(film),All Good Things,,644535.0,<type 'float'>,20000000.0,<type 'float'>,[2010-12-03 00:00:00],2010,12,12/3
6,,"
Crest Animation Productions
","


September 8, 2010 (2010-09-08) (TIFF)
September 17, 2010 (2010-09-17) (United States)





",88 minutes[1],,$50.5 million[4],$20 million[3],,,United States[2],"


Anthony Bell
Ben Gluck


",Lionsgate Films,Joseph L. Campana,,,English,,,Chris Bacon,,"


Ken Katsumoto
Steve Moore
Richard Rich


","


Christopher Denk
Steve Moore


",,"


Justin Long
Hayden Panettiere
Dennis Hopper
Danny Glover
Christina Ricci


","


Ben Gluck
Steve Moore


",,,https://en.wikipedia.org/wiki/Alpha_and_Omega_(film),Alpha and Omega,"
Crest Animation Productions
",50500000.0,<type 'float'>,20000000.0,<type 'float'>,"[2010-09-08 00:00:00, 2010-09-17 00:00:00]",2010,9,9/17
7,,"
This is that
Smokehouse Pictures
","


September 1, 2010 (2010-09-01)






",105 minutes,"A Very Private Gentleman
by Martin Booth",$67.9 million[2],$20 million[1],,Martin Ruhe,United States,Anton Corbijn,Focus Features,Andrew Hulme,,,"English
Italian",,,Herbert Grönemeyer,,"


Anne Carey
Jill Green
Ann Wingate
Grant Heslov
George Clooney


",Rowan Joffé,,"


George Clooney
Violante Placido
Thekla Reuten
Paolo Bonacelli
Irina Björklund


",,,,https://en.wikipedia.org/wiki/The_American_(2010_film),The American,"
This is that
Smokehouse Pictures
",67900000.0,<type 'float'>,20000000.0,<type 'float'>,[2010-09-01 00:00:00],2010,9,9/1
8,,"
Escape Artists
","


April 23, 2010 (2010-04-23)






",104 minutes,,$77.5 million[2],$35 million[1],,Xavier Pérez Grobet,United States,Alan Poul,CBS Films,Priscilla Nedd-Friendly,,,English,,,Stephen Trask,,"Steve Tisch
Todd Black
Jason Blumenthal
Rodney Liber",,,"Jennifer Lopez
Alex O'Loughlin
Eric Christian Olsen
Michaela Watkins
Anthony Anderson
Melissa McCarthy
Noureen DeWulf
Linda Lavin",,,Kate Angelo,https://en.wikipedia.org/wiki/The_Back-up_Plan,The Back-up Plan,"
Escape Artists
",77500000.0,<type 'float'>,35000000.0,<type 'float'>,[2010-04-23 00:00:00],2010,4,4/23
9,"



Cross Creek Pictures
Phoenix Pictures
Protozoa Pictures
Dune Entertainment



",,"


September 1, 2010 (2010-09-01) (Venice)
December 3, 2010 (2010-12-03) (United States)





",108 minutes[1],,$329.4 million[3],$13 million[2],,Matthew Libatique,United States,Darren Aronofsky,Fox Searchlight Pictures,Andrew Weisblum,,,English,,,Clint Mansell,,"


Scott Franklin
Ari Handel
Mike Medavoy
Arnold Messer
Brian Oliver


","


Mark Heyman
Andres Heinz
John McLaughlin


",,"


Natalie Portman
Vincent Cassel
Mila Kunis
Barbara Hershey
Winona Ryder


",Andres Heinz,,,https://en.wikipedia.org/wiki/Black_Swan_(film),Black Swan,"



Cross Creek Pictures
Phoenix Pictures
Protozoa Pictures
Dune Entertainment



",329400000.0,<type 'float'>,13000000.0,<type 'float'>,"[2010-09-01 00:00:00, 2010-12-03 00:00:00]",2010,12,12/3
10,,"



Hunting Lane Films
Silverwood Films



","


January 24, 2010 (2010-01-24) (26th Sundance)
December 29, 2010 (2010-12-29) (United States)
January 14, 2011 (2011-01-14) (United Kingdom)




",112 minutes[1],,$16.6 million[2],$1 million[2],,Andrij Parekh,United States,Derek Cianfrance,The Weinstein Company,"


Jim Helton
Ron Patane


",,,English,,,Grizzly Bear,,"


Lynette Howell
Alex Orlovsky
Jamie Patricof


",,,"


Ryan Gosling
Michelle Williams


",,,"


Derek Cianfrance
Cami Delavigne
Joey Curtis


",https://en.wikipedia.org/wiki/Blue_Valentine_(film),Blue Valentine,"



Hunting Lane Films
Silverwood Films



",16600000.0,<type 'float'>,1000000.0,<type 'float'>,"[2010-01-24 00:00:00, 2010-12-29 00:00:00, 2011-01-14 00:00:00]",2011,1,1/14
11,,"



Alcon Entertainment
Silver Pictures



","


January 15, 2010 (2010-01-15)






",117 minutes[1],,"$157,107,755[3]",$80 million[2],,Don Burgess,United States,The Hughes brothers,"


Warner Bros. Pictures (USA)
Summit Entertainment (International)


",Cindy Mollo,,,English,,,"


Atticus Ross
Leopold Ross
Claudia Sarne


",,"


Joel Silver
Susan Downey
Andrew Kosove
Broderick Johnson
Denzel Washington


",,,"


Denzel Washington
Gary Oldman
Mila Kunis
Ray Stevenson
Jennifer Beals


",,,Gary Whitta,https://en.wikipedia.org/wiki/The_Book_of_Eli,The Book of Eli,"



Alcon Entertainment
Silver Pictures



",157107755.0,<type 'float'>,80000000.0,<type 'float'>,[2010-01-15 00:00:00],2010,1,1/15
12,,"
Relativity Media
Original Film
","


March 19, 2010 (2010-03-19)






",111 minutes,,$136.3 million[2],$40–$45 million[1],,Oliver Bokelberg,"United Kingdom
United States",Andy Tennant,Columbia Pictures,Troy Takaki,,,English,,,George Fenton,,Neal H. Moritz,,,"Jennifer Aniston
Gerard Butler",,,Sarah Thorp,https://en.wikipedia.org/wiki/The_Bounty_Hunter_(2010_film),The Bounty Hunter,"
Relativity Media
Original Film
",136300000.0,<type 'float'>,40000000.0,<type 'float'>,[2010-03-19 00:00:00],2010,3,3/19
13,,"



Millenium Films
Thunder Road Pictures
Nu Image



","


January 16, 2009 (2009-01-16) (SFF)
March 5, 2010 (2010-03-05) (United States)





",132 minutes,,$36.4 million[1],$17 million[1],,Patrick Murguia,United States,Antoine Fuqua,Overture Films,Barbara Tulliver,,,English,,,Marcelo Zarvos,,"


Elie Cohn
Basil Iwanyk
John Langley
John Thompson


",,,"


Richard Gere
Don Cheadle
Ethan Hawke
Wesley Snipes


",,,Michael C. Martin,https://en.wikipedia.org/wiki/Brooklyn%27s_Finest,Brooklyn's Finest,"



Millenium Films
Thunder Road Pictures
Nu Image



",36400000.0,<type 'float'>,17000000.0,<type 'float'>,"[2009-01-16 00:00:00, 2010-03-05 00:00:00]",2010,3,3/5
14,,"



The Safran Company
Versus Entertainment
Dark Trick Films[1]



","


September 24, 2010 (2010-09-24)






",95 minutes,,$21.3 million[4],$2 million[3],,Eduard Grau,Spain[2],Rodrigo Cortés,Lionsgate,Rodrigo Cortés,,,English,,,Víctor Reyes,,"


Adrián Guerra
Peter Safran


",,,Ryan Reynolds,,,Chris Sparling,https://en.wikipedia.org/wiki/Buried_(film),Buried,"



The Safran Company
Versus Entertainment
Dark Trick Films[1]



",21300000.0,<type 'float'>,2000000.0,<type 'float'>,[2010-09-24 00:00:00],2010,9,9/24
15,,"
De Line Pictures
","


November 24, 2010 (2010-11-24)






",119 minutes,,"$89.7 million[1]
$119.7 million[2] (with DVD sales)",$55 million,,Bojan Bazelli,United States,Steven Antin,Screen Gems,Virginia Katz,,,English,,,Christophe Beck,,Donald De Line,,,"Cher
Christina Aguilera
Eric Dane
Cam Gigandet
Julianne Hough
Alan Cumming
Peter Gallagher
Kristen Bell
Stanley Tucci",,,Steven Antin,https://en.wikipedia.org/wiki/Burlesque_(2010_musical_film),Burlesque,"
De Line Pictures
",89700000.0,<type 'float'>,55000000.0,<type 'float'>,[2010-11-24 00:00:00],2010,11,11/24
16,,"
Paramount Vantage
","


August 13, 2009 (2009-08-13) (New Zealand)
October 1, 2010 (2010-10-01) (United States)





",109 minutes,,$28.2 million[2],$26 million[1],,Hagen Bodanski,"United States
Canada",Christian Alvart,Paramount Pictures,Mark Goldblatt,,,English,,,Michl Britsch,,"Lisa Bruce
Steve Golin
Alix Madigan
Kevin Misher",,,"Renée Zellweger
Jodelle Ferland
Ian McShane
Bradley Cooper",,,Ray Wright,https://en.wikipedia.org/wiki/Case_39,Case 39,"
Paramount Vantage
",28200000.0,<type 'float'>,26000000.0,<type 'float'>,"[2009-08-13 00:00:00, 2010-10-01 00:00:00]",2010,10,10/1
17,,"
Hannibal Pictures
Rollercoaster Entertainment
","


September 16, 2010 (2010-09-16) (TIFF)
January 28, 2011 (2011-01-28) (Canada)





",108 minutes,,$1.1 million[2],$12.5 million,,Adam Swica,Canada[1],George Hickenlooper,Art Takes Over Films (ATO),William Steinkamp,,,English,,,Jonathan Goldsmith,,"Gary Howsam
Bill Marks
George Zakk",,,"Kevin Spacey
Barry Pepper
Rachelle Lefevre
Kelly Preston
Jon Lovitz
Maury Chaykin",,,Norman Snider,https://en.wikipedia.org/wiki/Casino_Jack,Casino Jack,"
Hannibal Pictures
Rollercoaster Entertainment
",1100000.0,<type 'float'>,12500000.0,<type 'float'>,"[2010-09-16 00:00:00, 2011-01-28 00:00:00]",2011,1,1/28
18,,"
Jigsaw Productions
Participant Media
","


January 2010 (2010-01) (Sundance)
May 7, 2010 (2010-05-07) (United States)





",118 minutes,,"$176,865",,,Maryse Alberti,United States,Alex Gibney,Magnolia Pictures,Alison Ellwood,,,English,,,David Robbins,,"Bill Banowsky
Mark Cuban
Benjamin Goldhirsh
Jeff Skoll
Todd Wagner
Diane Weyermann",,,,,,Alex Gibney,https://en.wikipedia.org/wiki/Casino_Jack_and_the_United_States_of_Money,Casino Jack and the United States of Money,"
Jigsaw Productions
Participant Media
",176865.0,<type 'float'>,,,[2010-05-07 00:00:00],2010,5,5/7
19,,"
Village Roadshow Pictures
Mad Chance
Polymorphic Pictures
","


July 30, 2010 (2010-07-30)






",82 minutes,"Characters created
by John Requa
Glenn Ficarra",$112.5 million,$85 million[1],,Steven Poster,"United States
Australia",Brad Peyton,Warner Bros. Pictures,Julie Rogers,,,English,,,"Christopher Lennertz
Theme song:
Shirley Bassey",,"Andrew Lazar
Polly Johnsen
Greg Michael
Brent O'Connor","Ron J. Friedman
Steve Bencich",,"James Marsden
Nick Nolte
Christina Applegate
Katt Williams
Bette Midler
Roger Moore
Neil Patrick Harris
Chris O'Donnell
Jack McBrayer
Sean Hayes
Michael Clarke Duncan
Wallace Shawn",,,,https://en.wikipedia.org/wiki/Cats_%26_Dogs:_The_Revenge_of_Kitty_Galore,"Cats & Dogs:
The Revenge of Kitty Galore","
Village Roadshow Pictures
Mad Chance
Polymorphic Pictures
",112500000.0,<type 'float'>,85000000.0,<type 'float'>,[2010-07-30 00:00:00],2010,7,7/30
